block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,feature_axis,feature_value
feature_block_1,intervals_n12_d6_o0,kappa_6,6.0,-0.0546744922255573,-0.00810581569268899,0.07724832245396258,0.07767243764679478,nan,nan,0,95.99023542225136,0.33276848785585017,-0.3360749049276152,0.4729494774624185,-0.790341607817646,-45.283238501534825,1,-45.283238501534825,0.9953703703703702,0.004629629629629629,0.3893953497295415,nats,0,0,0,0.013438624999538483,-0.06018518518518518,-0.058134724617113685,-0.06018518518518517,-1.9032955757684435,3.3612452618671167,1,14,bin_count,12.0
feature_block_1,intervals_n12_d6_o0,kappa_9,9.0,0.3340895409386325,-0.18002122730416661,0.13698429218940977,0.2262130380564569,2.4911303629812447,142.73125601571812,1,142.73125601571812,0.5503231536515085,-0.4690564953299826,0.723097205952414,-0.7058447337329746,-40.441924234434815,1,-40.441924234434815,1.0,0.0,0.2630112635516159,nats,0,1,1,0.00864350510230194,0.33333333333333326,0.3313111248447371,0.3333333333333333,-1.823195628329667,3.4499262767260745,1,7,bin_count,12.0
feature_block_1,intervals_n12_d6_o0,kappa_12,12.0,0.46419195833632665,-0.22835212331942722,0.05779401405632516,0.23555220288766907,2.8937063322492684,165.79715998816422,1,165.79715998816422,0.38578958188364176,-0.4996505234133932,0.6312560867328195,-0.9132887937723287,-52.327593359748256,1,-52.327593359748256,1.0,0.0,0.1901025979074898,nats,0,1,1,0.01815486425878715,0.4722222222222222,0.45515914685095593,0.4722222222222221,-1.7481567067802244,2.2763750052255416,1,5,bin_count,12.0
feature_block_1,intervals_n18_d6_o0,kappa_2,2.0,-0.06851687739666111,0.11864597138499745,0.17181606316452883,0.20880044561074815,nan,nan,0,55.37334509902454,0.08242760948939931,-0.18036162530744168,0.1983043788968839,nan,nan,0,-65.43898262025664,1.0,0.0,0.519983386599343,nats,0,1,1,0.026454308922242722,-0.05555555555555554,-0.07052595632008851,-0.055555555555555546,-0.989323119811537,2.1419590714022916,1,18,bin_count,18.0
feature_block_1,intervals_n18_d6_o0,kappa_6,6.0,0.1679799141930025,-0.18510959234948393,-0.14156780991108844,0.23303863624475274,-2.4887002922384696,-142.5920232182389,1,-142.5920232182389,-0.027833728585717945,-0.1907132255448882,0.1927336266579312,nan,nan,0,-98.30343522097007,1.0,0.0,0.38633196509135426,nats,0,1,1,0.030456831299631698,0.18518518518518517,0.1660966161332771,0.18518518518518517,-0.895038395742823,2.7089426950555042,1,20,bin_count,18.0
feature_block_1,intervals_n18_d6_o0,kappa_9,9.0,0.33944823280367054,-0.13171397706433924,-0.22154627835266455,0.25774275005520836,-2.1071776179533073,-120.73238419315472,1,-120.73238419315472,0.23462388978844365,-0.34671889140581186,0.4186434751875812,-0.9758812483689848,-55.91387683750088,1,-55.91387683750088,0.9953703703703702,0.004629629629629629,0.3522227363182574,nats,0,0,0,0.019858949617796995,0.3472222222222222,0.3368400730275732,0.3472222222222222,-0.7292209974416742,4.462599735234971,1,9,bin_count,18.0
feature_block_1,intervals_n18_d6_o0,kappa_12,12.0,0.3270651712265978,-0.12140858607902318,-0.06298215111490646,0.1367727901768787,nan,nan,0,-152.5814348348449,-0.08306164527529561,-0.17321933290898842,0.19210459184848758,nan,nan,0,-115.6185180066819,0.9768518518518517,0.023148148148148147,0.3866524348554374,nats,0,0,0,0.016649355967754076,0.32870370370370366,0.3297044867654356,0.32870370370370366,2.251814395574896,3.707215488659872,1,16,bin_count,18.0
feature_block_1,intervals_n30_d6_o0,kappa_2,2.0,0.10658878544237312,0.5775456594031795,0.3703420637055081,0.6860847125866514,0.5701883107938696,32.66938373618241,1,32.66938373618241,0.14073109613706944,0.15039862880008298,0.20597327245272923,nan,nan,0,46.90191968824446,1.0,0.0,0.3732046460188414,nats,0,1,1,0.026010055231648344,0.10185185185185187,0.09933658023526534,0.10185185185185185,2.6923178366034657,2.830906236849282,0,16,bin_count,30.0
feature_block_1,intervals_n30_d6_o0,kappa_6,6.0,-0.256854721858682,0.4076214624731411,0.10268321618518696,0.4203559200901972,0.24677387109939097,14.139101308100503,1,14.139101308100503,0.24213676446118326,0.06146353532347218,0.24981588996336934,0.2485877140603483,14.24302685446287,1,14.24302685446287,1.0,0.0,0.36348565598792865,nats,0,1,1,0.06844985894701922,-0.25,-0.2790256099143564,-0.25000000000000006,2.9200890968148068,2.037455101361032,0,13,bin_count,30.0
feature_block_1,intervals_n30_d6_o0,kappa_9,9.0,-0.04979638904204471,0.3178829801132627,0.03590117644064802,0.31990386605277454,0.11246180401101724,6.443586726258721,1,6.443586726258721,0.4674188914563869,0.26135093899794526,0.5355228598345969,0.509830686977239,29.211146630051175,1,29.211146630051175,0.9814814814814814,0.018518518518518517,0.412770494949318,nats,0,0,0,0.024342624353093346,-0.055555555555555566,-0.06087013227674094,-0.055555555555555546,3.018951280228904,5.653000766310841,0,9,bin_count,30.0
