block,profile,concentration,representation,origin_shift_bins,harmonic,observed_a,observed_b,null_a,null_b,residual_magnitude,phase_residual,phase_residual_degrees,max_coordinate_phase_degrees
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.25,0.25,1,-0.20900008524851643,0.12797133019257895,-0.16028743511506716,0.18162023304342045,0.07246466076732068,0.29829426019511374,17.091002162157245,3.7499999999999996
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.25,0.25,2,0.09062369908248182,-0.044161886087171906,0.14325786421718664,0.07362920448461834,0.12901587637775078,-0.9281999303988728,-53.18193855619218,7.499999999999999
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.375,0.375,1,-0.20649267316600617,0.20302038853763993,-0.16614406266198328,0.1762785334312837,0.04840596227878026,0.03806660119050198,2.1810555886234386,5.625
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.375,0.375,2,0.0076379527578695925,-0.06618737960001984,0.13813555775720382,0.08284107131256715,0.1980886268617348,-1.9961107466370085,-114.36872122300817,11.25
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.5,0.5,1,-0.22224175924373474,0.002221520154081579,-0.17182277898514595,0.17074807035025286,0.17590699727793263,0.7722653582427803,44.247545691469874,7.499999999999999
feature_block_2,kappa_9,9.0,centers_n24_d6_o0.5,0.5,2,-0.25691248210808215,0.1740652506760712,0.132421733631948,0.09169819995516293,0.3979515832238452,1.940453711629866,111.17980801688702,14.999999999999998
feature_block_2,kappa_12,12.0,centers_n24_d6_o0,0.0,1,-0.29142577276832277,0.16978814283291105,-0.29142577276832277,0.16978814283291105,0.0,0.0,0.0,0.0
feature_block_2,kappa_12,12.0,centers_n24_d6_o0,0.0,2,-0.10873014841489181,-0.14334790255621213,-0.10873014841489181,-0.14334790255621213,0.0,0.0,0.0,0.0
feature_block_2,kappa_12,12.0,centers_n24_d6_o0.125,0.125,1,-0.20444096369533993,-0.11644954769755993,-0.29682505206737836,0.16016205213926682,0.29163126881152746,1.012577608548451,58.016423399276235,1.8749999999999998
feature_block_2,kappa_12,12.0,centers_n24_d6_o0.125,0.125,2,0.19154864442211883,-0.1377302189310574,-0.09912194742510361,-0.15015227564124592,0.2909359043805451,1.5308814550294185,87.71304630803222,3.7499999999999996
