profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
narrow_kappa_12,-2.356194490192345,50,50,0.7,0.22,0.08,-0.62,0.08985248682009364,-0.6699999999999999,0.04999999999999999
narrow_kappa_12,-2.2252947962927703,50,50,0.84,0.12,0.04,-0.8,0.06998542122237651,-0.78,-0.020000000000000018
narrow_kappa_12,-2.0943951023931957,50,50,0.82,0.14,0.04,-0.78,0.07165677830848258,-0.73,-0.04999999999999999
narrow_kappa_12,-1.9634954084936207,50,50,0.74,0.22,0.04,-0.7,0.0769309258162072,-0.6699999999999999,-0.02999999999999997
narrow_kappa_12,-1.832595714594046,50,50,0.8,0.14,0.06,-0.74,0.0798467920713264,-0.8,0.06
narrow_kappa_12,-1.7016960206944713,50,50,0.82,0.12,0.06,-0.76,0.07855844048495726,-0.77,0.010000000000000009
narrow_kappa_12,-1.5707963267948966,50,50,0.76,0.14,0.1,-0.66,0.09306569985658475,-0.65,-0.010000000000000009
narrow_kappa_12,-1.4398966328953218,50,50,0.74,0.2,0.06,-0.68,0.08300479455047972,-0.72,0.03999999999999998
narrow_kappa_12,-1.3089969389957472,50,50,0.76,0.22,0.02,-0.74,0.06886840453253686,-0.69,-0.04999999999999999
narrow_kappa_12,-1.1780972450961726,50,50,0.76,0.2,0.04,-0.72,0.07580856663669484,-0.74,0.020000000000000018
narrow_kappa_12,-1.0471975511965979,50,50,0.82,0.14,0.04,-0.78,0.07165677830848258,-0.78,0.0
narrow_kappa_12,-0.9162978572970228,50,50,0.86,0.14,0.0,-0.86,0.0495695759225642,-0.79,-0.07
narrow_kappa_12,-0.7853981633974483,50,50,0.82,0.1,0.08,-0.74,0.08480469759803332,-0.65,-0.08999999999999997
narrow_kappa_12,-0.6544984694978737,50,50,0.76,0.08,0.16,-0.6,0.10690449676496976,-0.64,0.040000000000000036
narrow_kappa_12,-0.5235987755982987,50,50,0.8,0.04,0.16,-0.64,0.10598421137709377,-0.7,0.06
narrow_kappa_12,-0.39269908169872414,50,50,0.74,0.16,0.1,-0.64,0.09372125409632415,-0.61,-0.030000000000000027
narrow_kappa_12,-0.2617993877991496,50,50,0.68,0.18,0.14,-0.54,0.10384446768792141,-0.54,0.0
