representation,field_id,role,bucket,peer_count,n_obs,p_retard_obs,p_stay_obs,p_advance_obs,p_retard_hat,p_stay_hat,p_advance_hat,e_tv,R_pre,R_bank_moments,d_shape,d_native,u_ensemble,g_peer,policy_a
moments_m1_m3,al_f26_n17_p16,active_learning,k0_or_boundary,16,16,1.0,0.0,0.0,0.30009802402300734,0.34061283301373224,0.3592891429632604,0.6999019759769927,0.42393523851087467,0.543795651956418,3.171863286050396,1.7561316081507223,0.3112117114258062,0,0.0
moments_m1_m3,al_f27_n17_p16,active_learning,k0_or_boundary,16,16,0.0,0.0,1.0,0.026671736153666775,0.026631409077176194,0.9466968547691569,0.05330314523084304,0.2308788702736941,0.2638138842704096,11.980356131602646,5.692569456365534,0.1140634750987386,0,0.0
moments_m1_m3,al_f28_n17_p16,active_learning,k0_or_boundary,16,16,1.0,0.0,0.0,0.9324290470865833,0.026991840691428272,0.04057911222198859,0.0675709529134168,0.23356053967361778,0.2697098221984915,11.13806100317279,5.48026042129112,0.11670135113423456,0,0.0
moments_m1_m3,al_f29_n17_p16,active_learning,k0_or_boundary,16,16,0.0,0.0,1.0,0.02553602997248061,0.02553602997248061,0.9489279400550387,0.05107205994496128,0.23475125042322836,0.2602045586817437,7.559469106475307,4.117335757634286,0.1155575370873494,0,0.0
moments_m1_m3,al_f30_n17_p16,active_learning,k0_or_boundary,16,16,0.0,0.0,1.0,0.047919166058125594,0.02793015254293518,0.9241506813989393,0.07584931860106073,0.2267212577463633,0.44790169154439413,6.284900159515689,2.6320076103346994,0.0990687713261545,0,0.0
moments_m1_m3,al_f31_n17_p16,active_learning,k0_or_boundary,16,16,1.0,0.0,0.0,0.855873745896077,0.02940125495816165,0.11472499914576162,0.14412625410392313,0.18360586226867837,0.434187959800737,5.925985434601449,3.650222983163885,0.06587868106272943,0,0.0
moments_m1_m3,control_exact_antipodal_8_8_r00,exact_antipodal_balance,control,16,16,0.0,1.0,0.0,0.077550367219941,0.8388298963100418,0.08361973647001694,0.1611701036899581,0.2530098038752619,nan,0.2471914094450728,0.4448902041150403,0.1340764988630616,0,0.0
moments_m1_m3,control_lowrisk_sparse_N8_unimodal_k6,low_risk_anchor,control,8,16,0.0,1.0,0.0,0.49461760828711104,0.03605903415727061,0.4693233575556183,0.9639409658427294,0.18740135265115695,nan,5.171543825418377,2.859477794604588,0.06547612142821811,0,0.0
moments_m1_m3,control_small_imbalance_9_7_r00,small_imbalance,control,16,16,0.0,0.0,1.0,0.13632903632747986,0.3640943640216824,0.4995765996508378,0.5004234003491622,0.33314172560751354,nan,1.3452384702412497,1.045822663949986,0.2101812680889186,0,0.0
moments_m1_m3,control_sparse_N16_antipodal_equal,sparse_antipodal_manifold,control,16,16,0.0,1.0,0.0,0.06890375041755802,0.8436147673182087,0.08748148226423308,0.1563852326817912,0.26916855414594393,nan,1.1692137100119013,0.4877973920105419,0.1340764988630616,0,0.0
centers_24_standard,al_f00_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.125,0.125,0.75,0.6308694948994668,0.08035559356904,0.28877491153149293,0.5058694948994669,0.2962295504888519,0.4914511445274745,7.351410278776457,3.2058201499959758,0.13928979868881106,0,0.0
centers_24_standard,al_f01_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.375,0.0625,0.5625,0.6215349519044202,0.09371090594642902,0.2847541421491507,0.27774585785084926,0.29028907449373326,0.49330752787582255,6.037437411392919,2.33888508246242,0.14216793354444146,0,0.0
centers_24_standard,al_f02_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.875,0.0,0.125,0.7369674996674406,0.11371298673805691,0.14931951359450218,0.13803250033255926,0.3310940395354429,0.6341891301733826,4.3921386869767565,4.427398145951332,0.17885380957450148,0,0.0
centers_24_standard,al_f03_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.5,0.0,0.5,0.37744913420298143,0.22832294646379725,0.3942279193332211,0.22832294646379736,0.37891638524277704,0.6165494305501064,3.268072052621738,4.474786483935876,0.16349642115609062,0,0.0
centers_24_standard,al_f04_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.625,0.375,0.4738801937401191,0.10577837213443345,0.42034143412544744,0.5192216278655666,0.31478383185703346,0.4297651217236177,7.527487772119713,4.32637292735132,0.10003595929677855,0,0.0
centers_24_standard,al_f05_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.3484348049692658,0.12764090195489902,0.5239242930758352,0.4760757069241648,0.42733002611416243,0.6015426781997408,1.0304338332140457,3.9570083409917247,0.1324651476718479,0,0.0
centers_24_standard,al_f06_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.8125,0.0625,0.125,0.5633390422534904,0.20378457468280423,0.2328763830637053,0.24916095774650954,0.36338992457641417,0.5927109284884508,2.4810726685698614,3.8268343236508984,0.15403087703819385,0,0.0
centers_24_standard,al_f07_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0625,0.0,0.9375,0.20311441027672142,0.1660952290453671,0.6307903606779113,0.3067096393220886,0.4101133224489158,0.5849109768849361,4.41771518206806,4.45222758519107,0.21550850484634002,0,0.0
centers_24_standard,al_f08_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.5625,0.0,0.4375,0.3607667265395077,0.14272594991421206,0.49650732354628024,0.2017332734604923,0.3475964847131062,0.5840810764758803,4.136884604026711,4.4349417469405585,0.20433349327922193,0,0.0
centers_24_standard,al_f09_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.32775792532123726,0.08646986824588615,0.5857722064328769,0.41422779356712325,0.30936223478393954,0.6023263602028424,4.077619111306107,3.805559079477488,0.1353860339507755,0,0.0
centers_24_standard,al_f10_n9_p8,active_learning,high_occupancy_high_risk,8,16,0.0,0.0,1.0,0.1877929497177046,0.16202844204365902,0.6501786082386362,0.34982139176136373,0.37281070885061707,0.649517164680506,8.458494450368217,5.482068367955257,0.2595421996142921,0,0.0
centers_24_standard,al_f11_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.9375,0.0,0.0625,0.5481228466496211,0.16250379093313178,0.28937336241724715,0.3893771533503789,0.3456377106801846,0.5941544894244619,3.1595045006797786,4.000942771846157,0.07598742774724358,0,0.0
centers_24_standard,al_f12_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.75,0.0,0.25,0.32556002322165106,0.335992586681132,0.3384473900972169,0.42443997677834894,0.43136302115858816,0.5800998357476318,1.5274967714546346,3.9047423632079528,0.18526507926810687,0,0.0
centers_24_standard,al_f13_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.3125,0.0,0.6875,0.3915658746954627,0.3250916836777735,0.28334244162676375,0.40415755837323625,0.3963970259557233,0.5913174336056166,2.1075270492111575,3.832197851859226,0.17530228318043495,0,0.0
