bundle,n_agents,coupling,seed_index,final_r,mean_r,t_r1_gt_0.5,t_r1_gt_0.9,mean_activity,mean_tau_social
v1,9,0.22,0,0.9874199063288319,0.9646002245996473,1.0,7.0,0.9266666666666665,-0.03777777777777778
v1,9,0.22,1,0.9548312322575451,0.9051583013414056,7.0,21.0,0.9244444444444444,0.02222222222222222
v1,9,0.22,2,0.978452356404252,0.9609599720506051,2.0,7.0,0.9222222222222223,-0.08666666666666664
v1,9,0.22,3,0.9898062542808295,0.8332571678736812,4.0,63.0,0.9411111111111111,-0.005555555555555558
v1,9,0.22,4,0.9906701757835384,0.9718841129939557,0.0,7.0,0.9155555555555556,-0.01111111111111112
v1,9,0.22,5,0.9871500584008468,0.8882585893272457,7.0,26.0,0.9288888888888889,0.01111111111111111
v1,9,0.22,6,0.9918681649332771,0.666985272962587,26.0,78.0,0.8966666666666666,-0.08555555555555554
v1,9,0.22,7,0.9921644511147837,0.9294352832780032,6.0,15.0,0.9066666666666667,0.03333333333333334
v1,9,0.22,8,0.9910714555718572,0.9468812293516983,3.0,10.0,0.9022222222222221,0.0022222222222222153
v1,9,0.22,9,0.983434771908894,0.9366445827859698,6.0,11.0,0.9177777777777778,-0.046666666666666676
v1,9,0.22,10,0.9464121877566611,0.750060471271984,6.0,96.0,0.9366666666666668,-0.005555555555555555
v1,9,0.22,11,0.9769677087039779,0.8389227105127678,16.0,31.0,0.9166666666666665,-0.009999999999999988
v1,9,0.24,0,0.9955989087557039,0.9421122433837483,0.0,19.0,0.9177777777777778,-0.013333333333333332
v1,9,0.24,1,0.9772850385946488,0.9649766025845956,0.0,8.0,0.9322222222222222,-0.03222222222222222
v1,9,0.24,2,0.9903586342333988,0.9680978157501804,0.0,6.0,0.9133333333333333,-0.028888888888888888
v1,9,0.24,3,0.9870453322253734,0.9420325437396367,4.0,9.0,0.9011111111111112,0.001111111111111114
v1,9,0.24,4,0.9922902039741325,0.9475116446743556,4.0,9.0,0.9211111111111111,-0.014444444444444449
v1,9,0.24,5,0.9838427046483929,0.8993374813624178,10.0,15.0,0.92,-0.044444444444444446
v1,9,0.24,6,0.9812602145871517,0.9742866292012359,0.0,4.0,0.91,-0.014444444444444442
v1,9,0.24,7,0.9868940611766749,0.9666614234613438,0.0,6.0,0.92,-0.008888888888888892
v1,9,0.24,8,0.9926668990953686,0.8427686872039439,16.0,23.0,0.9022222222222221,0.024444444444444442
v1,9,0.24,9,0.9674693104559863,0.8671451405488068,11.0,26.0,0.911111111111111,0.002222222222222225
v1,9,0.24,10,0.9755205970544547,0.9406420496007811,5.0,11.0,0.9288888888888889,-0.057777777777777775
v1,9,0.24,11,0.9784373651793619,0.9123702776774029,5.0,21.0,0.9111111111111111,-0.022222222222222223
v1,9,0.26,0,0.987812971942758,0.8967106110934999,0.0,30.0,0.93,0.05888888888888889
v1,9,0.26,1,0.985417039152946,0.7948704722382821,8.0,53.0,0.9122222222222222,0.0011111111111111133
v1,9,0.26,2,0.9818404970152549,0.9039820415673128,9.0,17.0,0.9044444444444443,-0.06222222222222222
v1,9,0.26,3,0.9917059217473074,0.9394102862767655,4.0,10.0,0.9233333333333335,0.0033333333333333366
v1,9,0.26,4,0.988145442512584,0.9527096391683813,2.0,8.0,0.9077777777777777,-0.03
v1,9,0.26,5,0.9866447071792196,0.9282704322356377,3.0,20.0,0.9322222222222222,-0.03222222222222222
v1,9,0.26,6,0.9803448970371093,0.810973660034185,19.0,29.0,0.8888888888888888,-0.05111111111111111
v1,9,0.26,7,0.9847588457067782,0.9365835012841021,2.0,17.0,0.9266666666666665,0.03555555555555555
v1,9,0.26,8,0.9541725076746417,0.9190148385804876,8.0,11.0,0.9133333333333331,-0.03555555555555555
v1,9,0.26,9,0.9965470676499688,0.8715664333754358,2.0,40.0,0.9411111111111111,0.010000000000000002
v1,9,0.26,10,0.9860213386839116,0.9470498521633742,3.0,11.0,0.9111111111111111,0.008888888888888885
v1,9,0.26,11,0.9923317999464567,0.882559382044442,11.0,19.0,0.9055555555555556,-0.04111111111111112
v1,9,0.28,0,0.9812981646159112,0.9759116447289584,0.0,3.0,0.9133333333333334,0.01333333333333333
v1,9,0.28,1,0.9730080914446994,0.9684598361096554,0.0,5.0,0.9211111111111111,-0.018888888888888896
v1,9,0.28,2,0.9855466314782295,0.8815679062580111,11.0,17.0,0.93,-0.007777777777777783
v1,9,0.28,3,0.9825177420605422,0.9150272180296417,7.0,12.0,0.9255555555555556,-0.025555555555555554
v1,9,0.28,4,0.9850096065133717,0.9661652075271141,0.0,6.0,0.9333333333333335,0.013333333333333334
v1,9,0.28,5,0.9813743478644882,0.9187132991618299,8.0,13.0,0.9033333333333334,0.01
v1,9,0.28,6,0.9843073692248768,0.9071766961576845,7.0,14.0,0.9055555555555556,-0.014444444444444449
v1,9,0.28,7,0.9820416081293625,0.9157244491350063,4.0,19.0,0.9211111111111111,0.012222222222222225
v1,9,0.28,8,0.9604519051753483,0.9282073375830806,6.0,11.0,0.9188888888888889,0.0033333333333333305
v1,9,0.28,9,0.9892367383288362,0.8839613374679749,11.0,15.0,0.9111111111111111,0.01777777777777778
v1,9,0.28,10,0.9535974971820645,0.8979521229587527,0.0,33.0,0.9377777777777777,0.042222222222222223
v1,9,0.28,11,0.9910492011974505,0.9371342644666959,4.0,11.0,0.9277777777777778,-0.021111111111111115
v1,9,0.3,0,0.9687382151043912,0.9007723913973442,3.0,28.0,0.9255555555555556,-0.016666666666666666
v1,9,0.3,1,0.9499033883980673,0.9648262734215918,0.0,5.0,0.9166666666666667,-0.005555555555555555
