block,representation,profile,imbalance,realization,count_a,count_b,a0,a1,b1,R1,phi1_degrees,R2,activity,mean_entropy
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,0.14361935152407446,1.105053051057323,-0.04674265006170502,1.1060411931686314,-2.422110887419713,0.1376542744089219,1.0,0.10098985943319788
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,0.016762841442003414,1.0090960539196479,0.05503535773883882,1.0105957335342588,3.121776915585309,0.24863639857684489,1.0,0.14785112148476523
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,-0.009294731420066718,0.995652901248337,0.1556589403245305,1.0077471932321056,8.885612241412689,0.3229795699280116,1.0,0.16347154216862103
block_2,moments_m1_m3,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,-0.03224676155704668,1.1231743076247784,0.2249478561757541,1.1454789667673817,11.325284148897609,0.1646619548458713,1.0,0.12751128311214843
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,-0.06216430168610694,-0.06701645986246443,-0.21481574211178114,0.22502668497654355,-107.32645084417378,0.42784487354406514,0.5833333333333334,0.4281211525673615
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,-0.0709537846304167,-0.1351091258384758,0.02651093222663853,0.13768553087511598,168.89853990368914,0.4113298052605493,0.6597222222222222,0.4689890381095167
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,0.1163458454619204,-0.044201692659249156,-0.07374427218052572,0.08597678357195145,-120.93811556797812,0.3736983816230166,0.6041666666666666,0.47861608228396046
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,0.07343825332700611,-0.17204506663214664,-0.04026425946715233,0.17669384692993115,-166.82795402136392,0.37719712030099084,0.6458333333333334,0.5291110120005592
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,-0.035534112177864764,0.03469566843339527,0.029140835337930306,0.045309796868143966,40.02684504617387,0.3556035964492822,0.6041666666666666,0.39815427002030096
block_2,centers_24_standard,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.06301505149361744,0.08715265990174086,0.13999195967702666,0.16490401724082637,58.09547526832183,0.5113046705197491,0.7430555555555556,0.4533686174256609
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,-0.1202724564713328,0.10340420963664705,0.3723696122647445,0.3864602938320777,74.48043071508707,0.6178886315066154,0.8402777777777778,0.322223666648481
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.30364522012540895,0.14113786786100935,0.2528558262910937,0.2895789471520737,60.83082571600989,0.3573216550789407,0.9305555555555556,0.42448748490232996
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,-0.1251915574699844,-0.0383843055724261,0.19712455386649153,0.2008269022101887,101.01881254658736,0.4642995593553256,0.9166666666666666,0.3945206023552694
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,-0.2423910642964776,0.06837849636908842,0.22450089655187683,0.2346833426519529,73.06030976027834,0.24864898154871024,0.8680555555555556,0.3799859316951431
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,-0.1592629881660525,0.40258331829847005,0.4509709317445395,0.6045230429443905,48.24459967861109,0.4880089424105864,0.8958333333333334,0.33312466964357573
block_2,centers_24_standard,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,-0.05006121736463171,0.10497068944269979,0.07608167916892063,0.12964284610898627,35.93421480416894,0.24542123119386453,0.9652777777777778,0.4520946586050099
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,-0.1236950275683137,0.2014803698389016,0.2412678355491472,0.31433184360002553,50.13507862064486,0.48072587786872517,0.9861111111111112,0.4052333965534426
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,-0.2160619985354571,0.05255737748318686,0.31926331336363933,0.32356041350548365,80.65176772095255,0.4218912908590781,0.9930555555555556,0.2837154899507063
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,0.014657574268249537,0.21630499522143665,0.42313112098991856,0.47521342206205713,62.92384252357974,0.3960450465408558,0.9652777777777778,0.35582421686057314
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,-0.22108524616028713,0.24531531249205196,0.3123170389113242,0.39714170687225825,51.85146839554613,0.15010065068438122,0.9861111111111112,0.3836195993601747
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,-0.1367441800006322,0.2833507798823508,0.42195792303034607,0.5082677968040272,56.11807467486212,0.35595469216275344,0.9722222222222222,0.401599728888411
block_2,centers_24_standard,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,-0.07621480428765402,0.28569933496059075,0.609408059421645,0.6730544501635651,64.88213532565968,0.4011098871928205,0.9097222222222222,0.294616492945801
