model,field_id,bucket,role,peer_count,bin_sparsity,p_fail,n_valid,log_loss,d_TV,abs_e_A,abs_e_a0,a0_mae,a0_sign_acc,a0_corr,n,hat_A,hat_a0,hat_C1,hat_C2,hat_p_minus,hat_p_stay,hat_p_plus,obs_A,obs_a0,obs_C1,obs_C2,obs_p_minus,obs_p_stay,obs_p_plus
pooled_global,cent_al_f13_n17_p16,high_occupancy_high_risk,active_learning,16,0.16666666666666666,0.0,32,0.8357743371715094,0.3971914847453101,0.18392416049135452,0.6104588089992656,0.6104588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.6875,0.6875,0.0,0.84375,0.0,0.15625
pooled_global,cent_al_f14_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0.0,32,0.9482144490320639,0.38048267574604444,0.18392416049135452,0.5770411910007344,0.5770411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.5,0.5,0.0,0.25,0.0,0.75
pooled_global,cent_al_f15_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0.03125,31,0.8306200366278167,0.424409226680794,0.18392416049135452,0.6648942928702334,0.6648942928702334,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.7419354838709677,0.7419354838709677,0.0,0.8709677419354839,0.0,0.12903225806451613
pooled_global,cent_al_f16_n9_p8,model_disagreement,active_learning,8,0.125,0.21875,25,0.9501081772318207,0.39048267574604445,0.18392416049135452,0.5970411910007344,0.5970411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.52,0.52,0.0,0.24,0.0,0.76
pooled_global,cent_al_f17_n9_p8,model_disagreement,active_learning,8,0.125,0.125,28,0.880581299040753,0.18392416049135452,0.18392416049135452,0.13724452328497988,0.13724452328497988,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.21428571428571425,0.21428571428571425,0.0,0.6071428571428571,0.0,0.39285714285714285
pooled_global,cent_al_f18_n9_p8,model_disagreement,active_learning,8,0.20833333333333334,0.3125,22,0.9697340876656629,0.4941190393824081,0.18392416049135452,0.8043139182734617,0.8043139182734617,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.7272727272727273,0.7272727272727273,0.0,0.13636363636363635,0.0,0.8636363636363636
pooled_global,cent_al_f19_n9_p8,model_disagreement,active_learning,8,0.20833333333333334,0.0625,30,0.9955576540259816,0.6304826757460444,0.18392416049135452,1.0770411910007343,1.0770411910007343,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,1.0,1.0,0.0,0.0,0.0,1.0
pooled_global,cent_al_f20_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0.0,32,0.9422965484078243,0.34923267574604444,0.18392416049135452,0.5145411910007344,0.5145411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.4375,0.4375,0.0,0.28125,0.0,0.71875
pooled_global,cent_al_f21_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0.03125,31,0.9833400527372287,0.5659665467137864,0.18392416049135452,0.9480089329362181,0.9480089329362181,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.8709677419354838,0.8709677419354838,0.0,0.06451612903225806,0.0,0.9354838709677419
pooled_global,cent_al_f22_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0.0,32,0.8416922377957491,0.3659414847453101,0.18392416049135452,0.5479588089992656,0.5479588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.625,0.625,0.0,0.8125,0.0,0.1875
