representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv
centers_24_standard,leave_one_profile_out,0.5826445081517292,0.0,1.716312410070096,0.0,0.2231721589494536,0.0,0,0.2599428179296117
centers_24_standard,leave_one_profile_out,0.5826445206996291,0.0,1.716312373107393,0.0,0.3004445537239612,0.0,0,0.1395836607260368
centers_24_standard,leave_one_profile_out,0.5826444356574669,0.0,1.7163126236185215,0.0,0.3024078898655035,0.0,0,0.15936973922631528
centers_24_standard,leave_one_profile_out,0.5826443070216507,0.0,1.7163130025448625,0.0,0.30199317537502185,0.0,0,0.02193460023322561
centers_24_standard,leave_one_profile_out,0.582644552792332,0.0,1.7163122785710196,0.0,0.21163747798091834,0.0,0,0.2246365894513568
centers_24_standard,leave_one_profile_out,0.582644268794605,0.0,1.7163131151514377,0.0,0.26111173406856947,0.0,0,0.606339186307768
centers_24_standard,leave_one_profile_out,0.5826442687946013,0.0,1.7163131151514484,0.0,0.29858905303333266,0.0,0,0.4357645820439192
centers_24_standard,leave_one_profile_out,0.5826445527923317,0.0,1.7163122785710203,0.0,0.2897693954170862,0.0,0,0.6823704292069291
centers_24_standard,leave_one_profile_out,0.5826443070216479,0.0,1.7163130025448705,0.0,0.30199317537502207,0.0,0,0.6797619186985383
centers_24_standard,leave_one_profile_out,0.5826444356574636,0.0,1.7163126236185315,0.0,0.2224829235193237,0.0,0,0.2201748615091219
centers_24_standard,leave_one_profile_out,0.5826445206996278,0.0,1.7163123731073968,0.0,0.3004445537239601,0.0,0,0.7425066068959993
centers_24_standard,leave_one_profile_out,0.5826445081517296,0.0,1.7163124100700946,0.0,0.2990707997397443,0.0,0,0.6545820295231424
centers_24_standard,leave_one_profile_out,0.5826442773707878,0.0,1.7163130898883128,0.0,0.2999718098560003,0.0,0,0.6773374017632762
centers_24_standard,leave_one_profile_out,0.5826445439343307,0.0,1.7163123046642808,0.0,0.29703642797364715,0.0,0,0.29339223739785847
centers_24_standard,leave_one_profile_out,0.5826442830193506,0.0,1.7163130732491687,0.0,0.3030546882577433,0.0,0,0.4413071723857078
centers_24_standard,leave_one_profile_out,0.5826442683995061,0.0,1.7163131163152925,0.0,0.26122594554619494,0.0,0,0.7244409186528897
centers_24_standard,leave_one_profile_out,0.582644538055901,0.0,1.7163123219805356,0.0,0.17863717713995408,0.0,0,0.5681645841063325
centers_24_standard,leave_one_profile_out,0.5826442704370051,0.0,1.7163131103133693,0.0,0.2454028483960623,0.0,0,0.49107245509733544
centers_24_standard,leave_one_profile_out,0.5826445181859541,0.0,1.7163123805119964,0.0,0.20412596072467695,0.0,0,0.4252364112281948
centers_24_standard,leave_one_profile_out,0.5826445556254518,0.0,1.7163122702254197,0.0,0.2838382081447459,0.0,0,0.5571048873710371
centers_24_standard,leave_one_profile_out,0.5826443078981827,0.0,1.7163129999628357,0.0,0.30223603345635336,0.0,0,0.17383664694831155
centers_24_standard,leave_one_profile_out,0.5826442681912072,0.0,1.716313116928885,0.0,0.3017412022334572,0.0,0,0.3416178675363509
