profile,profile_family,source_family,acquisition_block,epsilon_level,sparse_realization,offset_group,offset_index,p_retard,p_stay,p_advance,activity,g,a0,abs_z1,antipodal_balance,n_trials
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g5,35,0.25,0.5,0.25,0.5,0.0,0.5,0.12393060767172628,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,0,0.5,0.0,0.5,1.0,0.0,0.0,0.12393060767172616,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,1,1.0,0.0,0.0,1.0,-1.0,0.0,0.1239306076717263,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,2,0.5,0.0,0.5,1.0,0.0,0.0,0.0991691675364043,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,3,0.25,0.0,0.75,1.0,0.5,0.0,0.125,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,4,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172628,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g0,5,0.25,0.0,0.75,1.0,0.5,0.0,0.12074072828613348,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,6,0.5,0.0,0.5,1.0,0.0,0.0,0.1082531754730548,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,7,0.75,0.0,0.25,1.0,-0.5,0.0,0.11548494156391081,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,8,0.0,0.0,1.0,1.0,1.0,0.0,0.12074072828613344,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,9,0.25,0.0,0.75,1.0,0.5,0.0,0.12393060767172626,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,10,0.75,0.0,0.25,1.0,-0.5,0.0,0.12074072828613351,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g1,11,0.75,0.0,0.25,1.0,-0.5,0.0,0.11548494156391079,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,12,0.25,0.25,0.5,0.75,0.25,0.25,0.12499999999999992,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,13,0.25,0.5,0.25,0.5,0.0,0.5,0.125,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,14,1.0,0.0,0.0,1.0,-1.0,0.0,0.1207407282861336,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,15,0.5,0.0,0.5,1.0,0.0,0.0,0.11548494156391084,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,16,1.0,0.0,0.0,1.0,-1.0,0.0,0.12074072828613351,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g2,17,0.75,0.0,0.25,1.0,-0.5,0.0,0.11548494156391087,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,18,0.75,0.0,0.25,1.0,-0.5,0.0,0.11548494156391093,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,19,0.0,0.0,1.0,1.0,1.0,0.0,0.12074072828613362,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,20,0.0,0.0,1.0,1.0,1.0,0.0,0.12499999999999999,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,21,0.0,0.0,1.0,1.0,1.0,0.0,0.12393060767172623,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,22,1.0,0.0,0.0,1.0,-1.0,0.0,0.12074072828613347,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g3,23,0.25,0.0,0.75,1.0,0.5,0.0,0.12074072828613346,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,24,0.25,0.0,0.75,1.0,0.5,0.0,0.12393060767172631,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,25,0.5,0.0,0.5,1.0,0.0,0.0,0.12074072828613344,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,26,0.75,0.0,0.25,1.0,-0.5,0.0,0.12500000000000003,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,27,0.0,0.0,1.0,1.0,1.0,0.0,0.12500000000000008,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,28,0.75,0.0,0.25,1.0,-0.5,0.0,0.11548494156391086,1.0,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g4,29,0.25,0.0,0.75,1.0,0.5,0.0,0.11548494156391086,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,30,0.75,0.0,0.25,1.0,-0.5,0.0,0.12393060767172635,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,31,0.75,0.0,0.25,1.0,-0.5,0.0,0.12074072828613343,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,32,0.25,0.5,0.25,0.5,0.0,0.5,0.1082531754730548,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,33,0.5,0.0,0.5,1.0,0.0,0.0,0.10825317547305474,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,34,0.25,0.0,0.75,1.0,0.5,0.0,0.11548494156391081,0.875,4
sparse_peer16_antipodal_9_7_r05_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,05,g5,35,1.0,0.0,0.0,1.0,-1.0,0.0,0.08838834764831838,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,0,0.25,0.25,0.5,0.75,0.25,0.25,0.22325957756370307,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,1,0.75,0.25,0.0,0.75,-0.75,0.25,0.2399708517672895,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,2,0.25,0.0,0.75,1.0,0.5,0.0,0.23587139543416388,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,3,0.5,0.0,0.5,1.0,0.0,0.0,0.2236955837293958,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,4,0.25,0.0,0.75,1.0,0.5,0.0,0.23941554923563718,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g0,5,0.75,0.0,0.25,1.0,-0.5,0.0,0.24414756498433873,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,6,0.75,0.0,0.25,1.0,-0.5,0.0,0.2006901085409452,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,7,1.0,0.0,0.0,1.0,-1.0,0.0,0.24414756498433873,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,8,0.5,0.0,0.5,1.0,0.0,0.0,0.193606339004777,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,9,0.5,0.0,0.5,1.0,0.0,0.0,0.2483976379792087,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,10,1.0,0.0,0.0,1.0,-1.0,0.0,0.22899390375918832,1.0,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g1,11,0.25,0.0,0.75,1.0,0.5,0.0,0.2357201431953896,1.0,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,12,0.5,0.0,0.5,1.0,0.0,0.0,0.23168892873402136,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,13,1.0,0.0,0.0,1.0,-1.0,0.0,0.23736987584542488,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,14,0.75,0.0,0.25,1.0,-0.5,0.0,0.24839763797920877,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,15,0.75,0.0,0.25,1.0,-0.5,0.0,0.23941554923563718,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,16,1.0,0.0,0.0,1.0,-1.0,0.0,0.23997085176728955,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g2,17,0.5,0.0,0.5,1.0,0.0,0.0,0.22369558372939574,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,18,0.0,0.0,1.0,1.0,1.0,0.0,0.2118771163693453,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,19,0.5,0.0,0.5,1.0,0.0,0.0,0.24786121534345268,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,20,0.0,0.0,1.0,1.0,1.0,0.0,0.20912907593445207,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,21,0.25,0.0,0.75,1.0,0.5,0.0,0.22704068005799707,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,22,0.0,0.0,1.0,1.0,1.0,0.0,0.23736987584542485,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g3,23,0.5,0.0,0.5,1.0,0.0,0.0,0.21991956444488994,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,24,0.25,0.0,0.75,1.0,0.5,0.0,0.2277429752237961,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,25,0.0,0.0,1.0,1.0,1.0,0.0,0.2118771163693453,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,26,0.5,0.0,0.5,1.0,0.0,0.0,0.24148145657226705,1.0,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,27,0.75,0.0,0.25,1.0,-0.5,0.0,0.23126799279581786,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,28,1.0,0.0,0.0,1.0,-1.0,0.0,0.23587139543416388,0.875,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g4,29,0.25,0.0,0.75,1.0,0.5,0.0,0.24414756498433868,0.75,4
sparse_peer16_antipodal_10_6_r00_k6,sparse_peer16_antipodal_10_6_rXX_k6,sparse_peer,block_2,na,00,g5,30,0.5,0.0,0.5,1.0,0.0,0.0,0.2165063509461097,1.0,4
