panel,run_id,n_agents,coupling,seed_index,llm_activity,llm_final_r1,llm_mean_r1,llm_t05,llm_t09,llm_tau,llm_p_stay,v1_activity,v1_final_r1,v1_mean_r1,v1_t05,v1_t09,v1_tau,v2_activity,v2_final_r1,v2_mean_r1,v2_t05,v2_t09,v2_tau,v1_pred_stay,v2_pred_stay,obs_stay_teacher,eA_v1,eA_v2,delta_e_A,er1_v1,er1_v2,delta_e_r1,et09_v1,et09_v2,delta_e_t09,etau_v1,etau_v2,delta_e_tau,estay_v1,estay_v2,delta_e_stay_teacher,locked_llm
v0.2b,N9_K+0_s0,9,0.0,0,1.0,0.1620334474965275,0.3041256421696512,0.0,nan,0.1,0.0,0.84,0.27993389885336,0.306911504664932,32.5,nan,-0.0886111111111111,0.98125,0.27993389885336,0.306911504664932,32.5,nan,-0.19069444444444444,0.1726386032207773,0.010271517414525146,0.0,0.16000000000000003,0.018750000000000044,0.14125,0.1179004513568325,0.1179004513568325,0.0,nan,nan,nan,0.18861111111111112,0.2906944444444445,-0.10208333333333336,0.1726386032207773,0.010271517414525146,0.16236708580625214,0
v0.2b,N9_K+0_s1,9,0.0,1,0.9977777777777778,0.1100712769032266,0.19606730052316432,nan,nan,0.051111111111111114,0.0022222222222222222,0.841111111111111,0.2771391699557758,0.345583157452105,26.0,nan,-0.09166666666666667,0.9845833333333333,0.2771391699557758,0.345583157452105,26.0,nan,-0.20625,0.19879731744512943,0.017822536946763154,0.0022222222222222222,0.15666666666666673,0.013194444444444509,0.14347222222222222,0.1670678930525492,0.1670678930525492,0.0,nan,nan,nan,0.14277777777777778,0.2573611111111111,-0.11458333333333331,0.19657509522290723,0.015600314724540931,0.1809747804983663,0
v0.2b,N9_K+0_s2,9,0.0,2,1.0,0.34602097552997685,0.33469746335156075,nan,nan,0.042222222222222223,0.0,0.8283333333333334,0.2827955177204776,0.31674181139827456,30.0,nan,-0.10305555555555557,0.9852777777777778,0.2827955177204776,0.31674181139827456,30.0,nan,-0.2227777777777778,0.1576037979991924,0.005996620013747558,0.0,0.17166666666666663,0.014722222222222192,0.15694444444444444,0.06322545780949923,0.06322545780949923,0.0,nan,nan,nan,0.14527777777777778,0.265,-0.11972222222222223,0.1576037979991924,0.005996620013747558,0.15160717798544485,0
v0.2b,N9_K+0_s3,9,0.0,3,0.9988888888888889,0.22696196071889024,0.2544375274149744,nan,nan,0.1388888888888889,0.0011111111111111111,0.8147222222222223,0.37113612997046924,0.2706373398143839,58.0,nan,-0.11944444444444444,0.9702777777777778,0.37113612997046924,0.2706373398143839,58.0,nan,-0.24722222222222223,0.19717711487242023,0.013448152347407951,0.0011111111111111111,0.1841666666666666,0.028611111111111143,0.15555555555555545,0.144174169251579,0.144174169251579,0.0,nan,nan,nan,0.2583333333333333,0.3861111111111111,-0.12777777777777782,0.19606600376130912,0.01233704123629684,0.18372896252501228,0
v0.2b,N9_K+0.06_s0,9,0.06,0,0.9766666666666667,0.9974282993527716,0.879572286022715,4.0,44.0,0.058888888888888886,0.023333333333333334,0.8977777777777778,0.7832855189024244,0.6663675683905312,23.142857142857142,39.0,0.018333333333333337,0.9877777777777778,0.8388942240043127,0.6666508818864328,24.0,38.0,-0.028888888888888895,0.07873862606705427,0.011983960849389743,0.023333333333333334,0.0788888888888889,0.011111111111111072,0.06777777777777783,0.21414278045034718,0.15853407534845887,0.05560870510188831,5.0,6.0,-1.0,0.04055555555555555,0.08777777777777779,-0.047222222222222235,0.05540529273372094,0.011349372483943592,0.04405592024977735,1
v0.2b,N9_K+0.06_s1,9,0.06,1,0.9688888888888889,0.9994202285490421,0.8406802108030326,14.0,36.0,0.04888888888888889,0.03111111111111111,0.9043055555555556,0.7681717282672196,0.6536426918068853,22.714285714285715,37.0,-0.010138888888888888,0.9844444444444445,0.7999170262346369,0.6920741022043765,13.428571428571429,46.0,-0.011388888888888893,0.07994197851924467,0.01208712151800823,0.03111111111111111,0.06458333333333333,0.015555555555555545,0.04902777777777778,0.23124850028182253,0.19950320231440521,0.03174529796741732,1.0,10.0,-9.0,0.059027777777777776,0.060277777777777784,-0.001250000000000008,0.04883086740813356,0.01902398959310288,0.02980687781503068,1
v0.2b,N9_K+0.06_s2,9,0.06,2,0.9466666666666667,0.9981409496873731,0.8589147170584575,1.0,55.0,0.03111111111111111,0.05333333333333334,0.9180555555555555,0.8811576871707989,0.7418735069929484,17.125,46.5,0.01472222222222223,0.9891666666666666,0.9497949459400283,0.7706211712528672,14.0,47.5,0.004166666666666659,0.06450228754461479,0.008787946389240514,0.05333333333333334,0.028611111111111143,0.04249999999999998,-0.01388888888888884,0.1169832625165742,0.04834600374734477,0.06863725876922944,8.5,7.5,1.0,0.01638888888888888,0.02694444444444445,-0.010555555555555571,0.011168954211281452,0.044545386944092824,-0.03337643273281137,1
v0.2b,N9_K+0.06_s3,9,0.06,3,0.9588888888888889,0.9986667559655904,0.8705436288265972,11.0,29.0,-0.03666666666666667,0.04111111111111111,0.9204166666666665,0.8067612689580288,0.6301624493441877,23.125,69.0,0.022361111111111106,0.9872222222222222,0.8733486598497961,0.6760561170329957,23.5,64.75,-0.013055555555555563,0.08711751330950676,0.016905390295075828,0.04111111111111111,0.03847222222222235,0.02833333333333332,0.01013888888888903,0.1919054870075616,0.12531809611579425,0.06658739089176735,40.0,35.75,4.25,0.059027777777777776,0.023611111111111104,0.03541666666666667,0.04600640219839565,0.024205720816035284,0.021800681382360364,1
v0.2b,N9_K+0.08_s0,9,0.08,0,0.9433333333333334,0.998931566889625,0.9125135548426552,1.0,35.0,0.04111111111111111,0.056666666666666664,0.9245833333333333,0.8854023537643521,0.7509773159618828,12.25,51.25,0.015138888888888886,0.9904166666666667,0.9413528877477491,0.8023184261582588,9.375,45.0,0.04763888888888888,0.06695279676335893,0.011492055408935959,0.056666666666666664,0.018750000000000044,0.047083333333333366,-0.02833333333333332,0.11352921312527298,0.05757867914187598,0.055950533983397,16.25,10.0,6.25,0.025972222222222226,0.006527777777777771,0.019444444444444455,0.010286130096692263,0.0451746112577307,-0.03488848116103844,1
v0.2b,N9_K+0.08_s1,9,0.08,1,0.9266666666666666,0.9983399146372719,0.9366254255890777,6.0,15.0,-0.024444444444444446,0.07333333333333333,0.915,0.9110233295487755,0.7069338025500513,23.125,53.6,-0.029166666666666667,0.9886111111111112,0.8864152935340217,0.7069428553621249,20.625,56.75,0.005833333333333323,0.07938503473020155,0.010384700340633567,0.07333333333333333,0.011666666666666603,0.06194444444444458,-0.05027777777777798,0.08731658508849638,0.11192462110325019,-0.02460803601475381,38.6,41.75,-3.1499999999999986,0.004722222222222221,0.030277777777777768,-0.025555555555555547,0.0060517013968682115,0.06294863299269976,-0.05689693159583155,1
